Title,fantasy,science,horror,thriller,mystery,detective,history,young,children
Ratha and Thistle-chaser,1,0,0,0,0,0,0,0,0
The Plague Dogs,0,1,0,0,0,0,0,0,0
The Pirates of Malaysia,0,0,0,0,0,0,0,1,0
The Black Corsair,0,0,0,0,0,0,0,1,0
Quest for a Throne,0,0,0,0,0,0,0,1,0
The Mystery of the Black Jungle,0,0,0,0,0,0,0,1,0
The King of the Sea,0,0,0,0,0,0,0,1,0
Treasure Island,0,0,0,0,0,0,0,1,0
They Came to Baghdad,0,0,0,1,0,0,0,0,0
A Supplement to the Journey to the West,1,0,0,0,0,0,0,0,0
Crocodile Tears,0,0,0,1,0,0,0,0,0
Scorpia Rising,0,0,0,1,0,0,0,0,0
Atlantis Found,0,0,0,1,0,0,0,0,0
The Prairie,0,0,0,0,0,0,1,0,0
Mr. Moto Is So Sorry,0,0,0,1,0,0,0,0,0
The Triumph of the Scarlet Pimpernel,0,0,0,0,0,0,1,0,0
The Emperor's Candlesticks,0,0,0,0,0,0,1,0,0
Lord Tony's Wife,0,0,0,0,0,0,1,0,0
A Child of the Revolution,0,0,0,0,0,0,1,0,0
The Bronze Eagle,0,0,0,0,0,0,1,0,0
The First Sir Percy,0,0,0,0,0,0,1,0,0
Ark Angel,0,0,0,1,0,0,0,0,0
Eagle Strike,0,0,0,1,0,0,0,0,0
Point Blanc,0,0,0,1,0,0,0,0,0
Stormbreaker,0,0,0,1,0,0,0,0,0
Inca Gold,0,0,0,1,0,0,0,0,0
The Medusa Stone,0,0,0,1,0,0,0,0,0
The Mediterranean Caper,0,0,0,1,0,0,0,0,0
Pandora's Curse,0,0,0,1,0,0,0,0,0
Night Probe!,0,0,0,1,0,0,0,0,0
Pacific Vortex!,0,0,0,1,0,0,0,0,0
Raise the Titanic!,0,0,0,1,0,0,0,0,0
Mam'zelle Guillotine,0,0,0,0,0,0,1,0,0
Catching Fire,0,1,0,0,0,0,0,0,0
Badenheim 1939,0,0,0,0,0,0,1,0,0
His Majesty's Dragon,1,0,0,0,0,0,1,0,0
Throne of Jade,1,0,0,0,0,0,1,0,0
American Empire: Blood and Iron,0,0,0,0,0,0,1,0,0
The Great War: Breakthroughs,0,0,0,0,0,0,1,0,0
American Empire: The Center Cannot Hold,0,0,0,0,0,0,1,0,0
The Great War: Walk in Hell,0,0,0,0,0,0,1,0,0
American Empire: The Victorious Opposition,0,0,0,0,0,0,1,0,0
Black Powder War,0,0,0,0,0,0,1,0,0
Empire of Ivory,0,0,0,0,0,0,1,0,0
Settling Accounts: Return Engagement,0,0,0,0,0,0,1,0,0
Settling Accounts: The Grapple,0,0,0,0,0,0,1,0,0
Something Rotten,1,0,0,0,0,0,1,0,0
Final Impact,0,1,0,0,0,0,1,0,0
Designated Targets,0,1,0,0,0,0,1,0,0
1882: Custer in Chains,0,0,0,0,0,0,1,0,0
Rome Burning,0,0,0,0,0,0,1,0,0
Russian Amerika,0,0,0,0,0,0,1,0,0
Red Inferno: 1945,0,0,0,0,0,0,1,0,0
Mothstorm,0,0,0,0,0,0,1,0,0
Resurrection Day,0,0,0,0,0,0,1,0,0
Settling Accounts: Drive to the East,0,0,0,0,0,0,1,0,0
The Man with the Iron Heart,0,0,0,0,0,0,1,0,0
How Few Remain,0,0,0,0,0,0,1,0,0
In the Presence of Mine Enemies,0,0,0,0,0,0,1,0,0
Gray Victory,0,0,0,0,0,0,1,0,0
Settling Accounts: In at the Death,0,0,0,0,0,0,1,0,0
Gunpowder Empire,0,0,0,0,0,0,1,0,0
Lion's Blood,0,0,0,0,0,0,1,0,0
Bring the Jubilee,0,0,0,0,0,0,1,0,0
The Proteus Operation,0,0,0,0,0,0,1,0,0
Liberty 1784: The Second War for Independence,0,0,0,0,0,0,1,0,0
Zulu Heart,0,0,0,0,0,0,1,0,0
The Disunited States of America,0,0,0,0,0,0,1,0,0
If Israel Lost the War,0,0,0,0,0,0,1,0,0
1824: The Arkansas War,0,0,0,0,0,0,1,0,0
Clash of Eagles,0,0,0,0,0,0,1,0,0
The Second Corps of Discovery: 1811 Journal of the Jackson and Clark Expeditionary Force,0,0,0,0,0,0,1,0,0
July's People,0,0,0,0,0,0,1,0,0
1920: America's Great War,0,0,0,0,0,0,1,0,0
1812: The Rivers of War,0,0,0,0,0,0,1,0,0
Weapons of Choice,0,0,0,0,0,0,1,0,0
The Valley-Westside War,0,0,0,0,0,0,1,0,0
Worldwar: Tilting the Balance,0,0,0,0,0,0,1,0,0
SS-GB,0,0,0,0,0,0,1,0,0
The Sky People,0,0,0,0,0,0,1,0,0
Back in the USSA,0,0,0,0,0,0,1,0,0
The Peshawar Lancers,0,0,0,0,0,0,1,0,0
Columbia  &  Britannia,0,0,0,0,0,0,1,0,0
Gettysburg: A Novel of the Civil War,0,0,0,0,0,0,1,0,0
Grant Comes East,0,0,0,0,0,0,1,0,0
The Well of Lost Plots,1,0,0,0,0,0,1,0,0
1634: The Galileo Affair,0,1,0,0,0,0,1,0,0
The Sword of the Lady,0,0,0,0,0,0,1,0,0
The Cuckoo Tree,0,0,0,0,0,0,1,0,1
The Stolen Lake,0,0,0,0,0,0,1,0,1
Nightbirds on Nantucket,0,0,0,0,0,0,1,0,1
The Wolves of Willoughby Chase,0,0,0,0,0,0,1,0,1
Lost in a Good Book,1,0,0,0,0,0,1,0,0
The Iron Dream,1,0,0,0,0,0,1,0,0
A Midsummer Tempest,1,0,0,0,0,0,1,0,0
The Bloody Red Baron,0,0,1,0,0,0,1,0,0
Dracula Cha Cha Cha,0,0,1,0,0,0,1,0,0
The Two Georges,0,0,0,0,1,0,1,0,0
Ruled Britannia,0,0,0,0,0,0,1,0,0
The Protector's War,0,1,0,0,0,0,1,0,0
Other Earths,0,1,0,0,0,0,1,0,0
In the Courts of the Crimson Kings,0,1,0,0,0,0,1,0,0
A Different Flesh,0,1,0,0,0,0,1,0,0
Island in the Sea of Time,0,1,0,0,0,0,1,0,0
Against the Tide of Years,0,1,0,0,0,0,1,0,0
On the Oceans of Eternity,0,1,0,0,0,0,1,0,0
The Eyre Affair,0,1,0,0,1,0,1,0,0
Hail! Hail!,0,0,0,0,0,0,1,0,0
Fox at the Front,0,0,0,0,0,0,1,0,0
Fox on the Rhine,0,0,0,0,0,0,1,0,0
Anno Dracula,0,0,1,0,0,0,1,0,0
Hannibal's Children,0,0,0,0,0,0,1,0,0
The Seven Hills,0,0,0,0,0,0,1,0,0
Colonization: Aftershocks,0,1,0,0,0,0,1,0,0
Tunnel Through the Deeps,0,1,0,0,0,0,1,0,0
Colonization: Second Contact,0,1,0,0,0,0,1,0,0
Worldwar: Striking the Balance,0,1,0,0,0,0,1,0,0
Worldwar: Upsetting the Balance,0,1,0,0,0,0,1,0,0
Colonization: Down to Earth,0,1,0,0,0,0,1,0,0
The Guns of the South,0,0,0,0,0,0,1,0,0
The Jewish Confederates,0,0,0,0,0,0,1,0,0
How Curious a Land,0,0,0,0,0,0,1,0,0
The Canary Trainer,0,0,0,0,1,0,0,0,0
The Walking Dead: Rise of the Governor,0,0,1,0,0,0,0,0,0
Johnny and the Dead,1,0,0,0,0,0,0,0,1
The Gate to Women's Country,0,1,0,0,0,0,0,0,0
Sara Payne: A Mother's Story,0,0,0,0,0,1,0,0,0
De zaak Natalee Holloway,0,0,0,0,0,1,0,0,0
The Cross and the Switchblade,0,0,0,0,0,1,0,0,0
Marie von Clausewitz: The Woman Behind the Making of On War,0,0,0,0,0,0,1,0,0
James Bond: The Authorized Biography of 007,0,0,0,1,0,0,0,0,0
Slaughterhouse-Five,0,1,0,0,0,0,0,0,0
All Fun and Games until Somebody Loses an Eye,0,0,0,0,0,1,0,0,0
Anne of Avonlea,0,0,0,0,0,0,0,0,1
The Night Wanderer,0,0,0,0,0,0,0,1,0
The Second Life of Samuel Tyne,0,0,0,0,0,0,1,0,0
Ratscalibur,1,0,0,0,0,0,0,0,1
Coots in the North,0,0,0,0,0,0,0,0,1
What Dreams May Come,1,0,0,0,0,0,0,0,0
The Indian in the Cupboard,1,0,0,0,0,0,0,0,1
The Candy Shop War,1,0,0,0,0,0,0,0,1
Arcade Catastrophe,1,0,0,0,0,0,0,0,1
Night on the Galactic Railroad,1,0,0,0,0,0,0,0,1
Farmer Giles of Ham,1,0,0,0,0,0,0,0,1
The Annotated Hobbit,1,0,0,0,0,0,0,1,1
Thunder Rising,1,0,0,0,0,0,0,0,1
"Mio, My Son",1,0,0,0,0,0,0,0,1
The Brothers Lionheart,1,0,0,0,0,0,0,0,1
SkyClan's Destiny,1,0,0,0,0,0,0,0,1
Long Shadows,1,0,0,0,0,0,0,0,1
Yellowfang's Secret,1,0,0,0,0,0,0,0,1
Bluestar's Prophecy,1,0,0,0,0,0,0,0,1
Code of the Clans,1,0,0,0,0,0,0,0,1
Cats of the Clans,1,0,0,0,0,0,0,0,1
Queen Ann in Oz,1,0,0,0,0,0,0,0,1
The Magic Dishpan of Oz,1,0,0,0,0,0,0,0,1
The Marvellous Land of Snergs,1,0,0,0,0,0,0,0,1
The Weirdstone of Brisingamen,1,0,0,0,0,0,0,0,1
Molly Moon's Incredible Book of Hypnotism,1,0,0,0,0,0,0,0,1
Sword Quest,1,0,0,0,0,0,0,0,1
The Spook's Apprentice,1,0,0,0,0,0,0,0,1
The Chimera's Curse,1,0,0,0,0,0,0,0,1
The Crossing of Ingo,1,0,0,0,0,0,0,0,1
The Princess and Curdie,1,0,0,0,0,0,0,0,1
Charlie and the Chocolate Factory,1,0,0,0,0,0,0,0,1
The Lost Princess,1,0,0,0,0,0,0,0,1
Dragonsdale,1,0,0,0,0,0,0,0,1
The Conch Bearer,1,0,0,0,0,0,0,0,1
Swordbird,1,0,0,0,0,0,0,0,1
The Crown of Dalemark,1,0,0,0,0,0,0,0,1
The Homeward Bounders,1,0,0,0,0,0,0,0,1
The Little White Horse,1,0,0,0,0,0,0,0,1
The Princess and the Goblin,1,0,0,0,0,0,0,0,1
Archer's Goon,1,0,0,0,0,0,0,0,1
The Anybodies,1,0,0,0,0,0,0,0,1
Garden of the Purple Dragon,1,0,0,0,0,0,0,0,1
Leven Thumps and the Whispered Secret,1,0,0,0,0,0,0,0,1
The Land of the Silver Apples,1,0,0,0,0,0,0,0,1
Artemis Fowl: The Lost Colony,1,0,0,0,0,0,0,0,1
Dragon Moon,1,0,0,0,0,0,0,0,1
The Islands of the Blessed,1,0,0,0,0,0,0,0,1
Skellig,1,0,0,0,0,0,0,0,1
Spellfall,1,0,0,0,0,0,0,0,1
Verdigris Deep,1,0,0,0,0,0,0,0,1
The Lie Tree,1,0,0,0,0,0,0,0,1
Artemis Fowl: The Time Paradox,1,0,0,0,0,0,0,0,1
Glubbslyme,1,0,0,0,0,0,0,0,1
The Snail and the Whale,1,0,0,0,0,0,0,0,1
